Product,Category,SubCategory,FeatureType,FeatureTitle,BusinessValue,FeatureDetails,HeaderDetails,HeaderTitle,ReleaseWave,PublicPreview,DateAvailable,ImpactLevel,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
FS,,,,,,,,,,,,,,,,,,,,,Yes
FS,,,,,,,,,,,,,,,,,,,,,Yes
FS,Accounting,,,,,,,,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,Yes
FS,Accounting,Accounting Testing,,,,,,,,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,SuiteApprovals Enhancements,,,SuiteApprovals Enhancements          SuiteApprovals includes the following enhancements in 2022.1:                                                    Approval Submission Process Enhancements                                                                    Record Locking and Reapproval                                                                    SuiteApprovals Portlets                                                          Approval Submission Process Enhancements                          Important:               SuiteApprovals SuiteApp 7.02.0 is available for early access testing in Sandbox accounts. The target availability to all production accounts is in June 2022.                        SuiteApprovals version 7.02.0 includes the following enhancements to the approvals submission process:                                          Enable Draft Status â You can set a preference to enable certain record types to be saved as a draft before it goes through the approvals routing process. On the General subtab of the Approval Preferences page (Setup &gt; Approval Process Manager &gt; Preferences) you can select which record types can be saved as a draft in the Enable Draft Status field.                                            Submit for Approval â If you enabled the draft status preference for a record type the approval process will not automatically start when the record is saved. The record will be saved in draft state upon creation and a Submit for Approval button will be available. To initiate the approval process you must click the Submit for Approval button.                                      These enhancements enable you to save and review the records for any changes needed. You can also review the approvers on the applicable approval rules before submitting the record for approval.                                Record Locking and Reapproval            The Approval Rule page and Approval Rule assistant now include a new section Set Up Locking and Reapproval. This section includes the following capabilities:                                          Record locking based on approval status â When creating approval rules you have the following record locking options:                                                      Lock records in Pending Approval or Approved status or both.                                                        Allow editing of records regardless of approval status.                                                  This capability applies to purchase orders vendor bills and expense reports.                                            Setting of percentage or amount tolerance limits â You can set tolerance limits to control whether records are rerouted for approval. Tolerance limits affect only pending approval and approved records.                The system reroutes records for approval using the same approval rule if the change in the record amounts exceed the set percentage or amount tolerance. You also have the option to disallow rerouting regardless of changes in record amounts.                This capability applies to purchase orders vendor bills and expense reports.                                                          SuiteApprovals Portlets            SuiteApprovals version 7.00 includes the following portlets:                                          Records for Approval â Aside from vendor bills you can now see the number or purchase orders and expense reports for your approval.                                                      The portlet lists the records by type and shows how many records you need to approve.                                                        The record type name on the portlets links to a page from which you can access the records.                                                                              SuiteApprovals Reminders â For vendor bills purchase orders and expense reports:                                                      The portlet lists the pending approval and rejected records per record type for the whole account. Each status links to a page that shows the list of pending approval and rejected records.                                                        You can also review ageing records awaiting approval and review records that may require reapproval.                                                                        For more information see SuiteApprovals SuiteApp.,SuiteApprovals Enhancements,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,SuiteApprovals Enhancements,,,Enhancements to Fixed Assets Management (FAM) Diagnostics Portlet          The FAM Diagnostics portlet on the Home dashboard enables you to check the health of the Fixed Assets Management SuiteApp. The following features are available in the enhanced FAM Diagnostics portlet:                                    Scan for assets without an Asset Values record â Missing field values on the asset records often occur if the asset is imported when the server scripts are not running. When records have missing field values depreciation values fail to generate. With this update you can now scan your system to identify the list of assets with no Asset Values record. Click the Review Assets link in the portlet to open the Review Assistant. From the Review Assistant you can check the details of each asset and choose to delete the assets or add asset values.                                      Scan for lease payments without contracts â Missing contracts on the lease payment record occur if the records are imported when the server scripts are not running. With this update you can now scan for lease payment records without contracts. When the scan is complete you can click Create Lease Contracts under the Action column of the portlet to update the lease payment records.                                      Updates to column labels â To improve the user interface the Requires Action column is removed. You can refer to the Action column to check if the scan results require user input.                                For more information see FAM Diagnostics Portlet.,Enhancements to Fixed Assets Management (FAM) Diagnostics Portlet,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,SuiteApprovals Enhancements,,,Budget Transaction Consumed Amount Saved Search Update          Expense Commitments and Budget Validation SuiteApp version 1.0.7 includes an update to the Budget Transaction Consumed Amount predefined saved search.          Previously the results of this predefined saved search are sourced only from purchase orders vendor bills and purchase requests.          In this update additional search filters for other expense transactions are added. Expense reports vendor credits journal entries and custom expense transactions are now also included in this predefined saved search.          To learn more about how to create or modify your budget control saved search see Creating a Budget Control Saved Search.,Budget Transaction Consumed Amount Saved Search Update,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,SuiteApprovals Enhancements,,,Labor Expense Allocation Now Available in SuiteApp Marketplace          The NFP Labor Expense Allocation SuiteApp is renamed to Labor Expense Allocation SuiteApp.Â This SuiteApp is now available for installation from the SuiteApp Marketplace.          Previously you can install the NFP Labor Expense Allocation SuiteApp from the Search &amp; Install Bundles page. If you have the previous SuiteApp (version 1.00.4 bundle ID: 305364) installed in your NetSuite account and you want to use the new version you need to uninstall that SuiteApp first before installing Labor Expense Allocation from SuiteApp Marketplace.          Starting version 1.0.0 you can now install and use Labor Expense Allocation to allocate expenses through additional custom segments without installing the NFP Financials SuiteApps.          The Labor Expense Allocation SuiteApp lets you:                                    Allocate payroll costs including salary and fringe benefits to benefiting program project or grant segments.                                      View and manage reports on total direct costs including the labor costs of running a program or project.                                      Retrieve employee pay data and fetch employee timesheets generated from the SuitePeople U.S. Payroll feature.                                For more information see Labor Expense Allocation.,Labor Expense Allocation Now Available in SuiteApp Marketplace,2022 Wave 1,,,,,,,,,,,,No
FS,Accounting,Accounting Testing,,SuiteApprovals Enhancements,,,Support for SuitePeople U.S. Payroll in Labor Expense Allocation          For NetSuite accounts that have the NFP Labor Expense Allocation SuiteApp installed from the Search &amp; Install Bundles page the new version is now called Labor Expense Allocation SuiteApp.Â           In addition Labor Expense Allocation version 1.01.0 now lets you process payroll data generated from the SuitePeople U.S. Payroll feature.          On the Labor Expense Allocation Preferences page you can now set the following field preferences:                                    Employee Pay Source â Set this preference to SuitePeople if your employee pay source comes from the SuitePeople U.S. Payroll feature.                                      Saved Search for Employee Pay â Assign the predefined search provided by the SuiteApp or use your own customized saved search.              The latest version includes a predefined saved search named SuitePeople Employee Pay. The search sources paychecks generated through the SuitePeople U.S. Payroll feature and employee pay transactions created through Labor Expense Allocation.                                In the latest version there is no need to manually create or import timesheets into NetSuite. The SuiteApp now supports the automatic retrieval of employee pay data and enables you to fetch timesheets created through the SuitePeople U.S. Payroll feature.          For more information see Labor Expense Allocation.,Support for SuitePeople U.S. Payroll in Labor Expense Allocation,2022 Wave 1,,,,,,,,,,,,No
